                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2016


NAME: Dolores, Alicante, Spain                  
ELEV: 10 meters    LAT: 38-09.06 N    LONG: 000-44.82 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   21.3   30.1  10:59   13.8  06:03    0.0    3.0    0.0    2.2   13.0  13:43    115
 02   22.1   29.6  10:31   14.2  05:29    0.0    3.7    0.0    2.0   14.5  15:06    138
 03   22.1   27.2  09:17   14.8  06:52    0.0    3.8    0.0    2.2   14.5  15:58    116
 04   22.3   27.7  12:09   16.1  06:39    0.0    3.9    0.0    2.0   12.1  14:06    105
 05   22.3   29.0  12:00   15.7  06:04    0.0    4.0    0.0    2.0   13.0  16:23    142
 06   23.2   30.1  10:46   15.0  06:41    0.0    4.8    0.0    1.8   13.0  15:40    139
 07   23.4   28.9  08:41   16.8  06:47    0.0    5.0    0.0    2.4   13.6  12:35     92
 08   24.8   33.5  11:59   16.2  06:47    0.0    6.5    0.0    1.8   12.1  16:14    148
 09   25.3   32.8  09:39   16.7  06:16    0.0    6.9    0.0    1.9   11.4  13:56    122
 10   25.3   31.2  09:55   19.3  05:11    0.0    7.0    0.0    2.0   12.1  16:19    124
 11   26.1   33.1  12:33   21.5  06:56    0.0    7.8    0.0    2.9   18.3  15:14    133
 12   25.0   31.1  10:57   18.6  07:01    0.0    6.7    0.0    2.3   14.5  13:33    127
 13   28.8   39.8  15:20   19.0  06:32    0.0   10.4    0.0    3.2   19.0  14:05      6
 14   27.4   35.6  09:41   21.9  23:42    0.0    9.1    0.0    3.7   15.9  03:45    148
 15   27.5   35.6  11:55   19.0  06:48    0.0    9.1    0.0    2.9   19.0  15:00    135
 16   24.9   30.8  15:21   19.7  23:59    0.0    6.5    0.0    5.1   20.6  14:31    306
 17   24.5   33.0  13:41   16.2  06:53    0.0    6.2    0.0    3.1   22.1  16:41    174
 18   21.6   27.8  10:56   14.4  05:46    0.0    3.3    0.0    3.6   19.0  15:13     84
 19   22.1   29.7  10:39   14.9  05:25    0.0    3.7    0.0    2.4   16.8  15:36    140
 20   22.5   28.7  09:57   15.2  06:32    0.0    4.1    0.0    2.3   13.0  14:06    129
 21   23.0   30.1  10:48   14.4  06:22    0.0    4.6    0.0    2.1   13.6  15:49    118
 22   23.1   29.7  10:32   15.5  06:23    0.0    4.8    0.0    3.0   15.2  15:26     86
 23   24.2   32.2  10:40   15.8  06:31    0.0    5.9    0.0    2.4   14.5  16:06    120
 24   24.8   33.4  11:55   16.2  06:54    0.0    6.4    0.0    2.0   14.5  16:49    134
 25   24.1   29.2  10:24   16.1  06:32    0.0    5.7    0.0    2.8   14.5  14:57    108
 26   24.9   28.4  09:33   20.4  07:25    0.0    6.6    0.0    4.8   20.6  16:29     79
 27   24.8   31.3  10:45   19.5  07:05    0.0    6.5    0.0    3.7   19.7  11:13     83
 28   24.5   31.0  13:02   18.8  05:58    0.0    6.2    0.0    2.9   13.6  11:46     60
 29   26.0   31.3  18:17   19.4  06:51    0.0    7.7    0.0    2.5   14.5  09:42     96
 30   26.8   34.0  12:18   19.0  06:31    0.0    8.5    0.0    2.2   13.6  15:05    129
---------------------------------------------------------------------------------------
      24.3   39.8     13   13.8     01    0.0  178.7    0.0    2.7   22.1     17    109
    

