                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2015


NAME: Dolores, Alicante, Spain                  
ELEV: 10 meters    LAT: 38-09.06 N    LONG: 000-44.82 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   21.4   27.6  08:26   14.7  04:11    0.0    3.1    0.0    1.0    6.5  12:17    131
 02   22.1   28.4  07:49   14.9  04:45    0.0    3.8    0.0    0.8    5.8  11:17    134
 03   22.7   30.4  07:55   13.6  04:43    0.0    4.4    0.0    1.2    6.8  15:48     91
 04   22.7   31.5  08:26   13.5  03:28    0.0    4.4    0.0    1.1    7.1  12:09    101
 05   22.2   30.2  08:35   13.8  03:39    0.0    3.9    0.0    1.0    5.8  14:16     72
 06   22.7   31.2  08:39   13.1  03:26    0.0    4.3    0.0    0.9    5.8  11:22    106
 07   23.0   31.3  09:02   12.3  03:36    0.0    4.7    0.0    0.8    5.8  11:43    125
 08   24.1   33.9  09:14   14.2  04:25    0.0    5.8    0.0    0.9    5.8  13:07    137
 09   24.2   34.3  10:20   14.9  04:10    0.0    5.9    0.0    0.7    7.1  12:46    130
 10   23.8   33.9  08:37   15.8  04:40    0.0    5.5    0.0    1.1    6.5  13:03    108
 11   20.7   25.7  17:47   17.1  23:56    0.0    2.3    3.3    0.5    4.8  07:55    250
 12   24.5   33.6  12:20   16.4  04:45    0.0    6.2    0.0    1.0    8.5  14:59    118
 13   24.5   31.6  10:21   17.2  04:07    0.0    6.2    0.0    1.2   13.6  17:58    102
 14   23.4   31.4  10:28   15.7  23:48    0.0    5.1    0.0    1.1    6.1  12:40    184
 15   22.3   32.5  11:09   14.2  04:47    0.0    4.0    0.0    1.3    8.8  16:59    150
 16   22.3   31.5  11:33   13.7  04:31    0.0    3.9    0.0    0.9    6.5  09:50    143
 17   22.7   32.0  09:56   14.7  04:51    0.0    4.4    0.0    1.0    7.1  11:36    158
 18   23.1   29.9  08:49   15.6  04:38    0.0    4.8    0.0    0.9    6.1  12:42    145
 19   24.0   32.3  09:23   15.2  04:46    0.0    5.7    0.0    0.9    5.8  12:09    166
 20   23.8   31.1  09:03   15.7  04:43    0.0    5.5    0.0    0.8    5.8  14:38    131
 21   24.5   32.0  09:20   16.7  03:52    0.0    6.2    0.0    0.8    5.8  13:13    147
 22   24.9   33.6  08:51   16.0  03:52    0.0    6.5    0.0    0.7    4.8  11:47    132
 23   26.1   35.5  09:25   17.2  04:06    0.0    7.7    0.0    0.9    6.8  15:23    165
 24   24.5   34.0  08:45   17.8  04:20    0.0    6.2    0.0    1.1    6.5  12:14     89
 25   25.0   31.7  09:35   17.6  04:39    0.0    6.7    0.0    0.9    6.5  14:08    130
 26   25.9   34.9  09:56   17.2  03:41    0.0    7.5    0.0    1.0    7.1  11:07    155
 27   27.4   36.8  09:14   17.6  04:53    0.0    9.1    0.0    0.9    6.8  11:26    154
 28   28.2   39.4  10:27   17.8  04:17    0.0    9.9    0.0    0.9    6.5  13:08    153
 29   27.2   34.6  10:22   18.6  03:44    0.0    8.9    0.0    0.8    4.8  12:03    121
 30   27.4   34.5  13:00   17.5  04:37    0.0    9.0    0.0    0.8    4.8  13:17     90
---------------------------------------------------------------------------------------
      24.0   39.4     28   12.3     07    0.0  171.5    3.3    0.9   13.6     13    132
    

